,delta_atrasos
SBAC,-15.0
SBAE,-58.0
SBAQ,0.0
SBAR,-321.0
SBAT,-16.0
SBAU,-149.0
SBAX,0.0
SBBE,-1658.0
SBBG,-44.0
SBBH,-3.0
SBBR,-5667.0
SBBV,-118.0
SBBW,-64.0
SBCA,-195.0
SBCB,-49.0
SBCD,0.0
SBCF,-5260.0
SBCG,-520.0
SBCH,-252.0
SBCJ,-72.0
SBCN,-27.0
SBCO,0.0
SBCP,-94.0
SBCR,-22.0
SBCT,-2850.0
SBCX,-129.0
SBCY,-1157.0
SBCZ,-42.0
SBDB,-25.0
SBDN,-111.0
SBEG,-2342.0
SBFI,-804.0
SBFL,-1553.0
SBFN,-176.0
SBFZ,-2431.0
SBGL,-1739.0
SBGO,-1630.0
SBGR,-14811.0
SBGV,-37.0
SBHT,-22.0
SBIH,-55.0
SBIL,-332.0
SBIP,-87.0
SBIZ,-67.0
SBJA,-54.0
SBJD,-100.0
SBJE,-168.0
SBJI,-31.0
SBJP,-504.0
SBJR,-173.0
SBJU,-208.0
SBJV,-189.0
SBKG,-90.0
SBKP,-8342.0
SBLE,-2.0
SBLO,-324.0
SBMA,-91.0
SBMD,-84.0
SBME,-104.0
SBMG,-315.0
SBMI,0.0
SBMK,-102.0
SBML,-69.0
SBMO,-965.0
SBMQ,-203.0
SBMS,-39.0
SBMY,-2.0
SBNF,-1155.0
SBNM,-58.0
SBOI,-3.0
SBPA,-3661.0
SBPB,-104.0
SBPF,-83.0
SBPG,-17.0
SBPJ,-200.0
SBPK,-63.0
SBPL,-160.0
SBPO,-16.0
SBPP,-32.0
SBPS,-1110.0
SBPV,-289.0
SBRB,-171.0
SBRD,-28.0
SBRF,-3956.0
SBRJ,-7413.0
SBRP,-702.0
SBSG,-894.0
SBSI,-72.0
SBSJ,0.0
SBSL,-617.0
SBSM,-36.0
SBSN,-202.0
SBSO,-30.0
SBSP,-11833.0
SBSR,-413.0
SBSV,-3326.0
SBTB,-19.0
SBTC,-21.0
SBTD,-25.0
SBTE,-241.0
SBTF,-83.0
SBTG,-32.0
SBTT,-47.0
SBTU,-65.0
SBUA,-7.0
SBUF,-3.0
SBUG,-62.0
SBUL,-466.0
SBUR,-51.0
SBUY,-374.0
SBVC,-126.0
SBVG,-2.0
SBVH,-35.0
SBVT,-1345.0
SBZM,-100.0
SDCG,0.0
SDH2,-5.0
SDIY,0.0
SDLO,0.0
SDOW,0.0
SDSC,0.0
SN6L,0.0
SNAB,-5.0
SNBA,0.0
SNBR,-99.0
SNCL,-5.0
SNCP,-15.0
SNDV,0.0
SNEB,-27.0
SNEE,-15.0
SNGI,-24.0
SNGN,-2.0
SNHS,-23.0
SNIG,0.0
SNJM,0.0
SNLN,0.0
SNMA,-7.0
SNMZ,-24.0
SNOB,-2.0
SNOX,-9.0
SNPD,-2.0
SNRJ,-11.0
SNRU,-28.0
SNSM,-13.0
SNSS,0.0
SNTF,-9.0
SNTI,-9.0
SNTO,-1.0
SNTS,-35.0
SNVS,-77.0
SNWS,-1.0
SNYA,-30.0
SNZR,-2.0
SSAP,-10.0
SSBL,0.0
SSCN,-31.0
SSCP,-7.0
SSCT,-12.0
SSER,-10.0
SSFB,-35.0
SSGG,-28.0
SSGY,-21.0
SSKM,-13.0
SSKW,-20.0
SSLT,-20.0
SSOE,0.0
SSOG,-13.0
SSOU,-46.0
SSRS,-30.0
SSSB,-13.0
SSSC,-17.0
SSUM,-24.0
SSUV,-17.0
SSVL,-15.0
SSZR,-12.0
SWBC,-22.0
SWBE,-2.0
SWBR,0.0
SWCA,-106.0
SWEI,-65.0
SWFX,-5.0
SWGN,-22.0
SWHP,-58.0
SWJN,-56.0
SWKO,-121.0
SWKQ,-2.0
SWLB,-34.0
SWLC,-24.0
SWMW,-72.0
SWPI,-74.0
SWTP,-1.0
SWTS,-25.0
SWYN,0.0
