,atrasos
SBSP,43533
SBGR,41697
SBKP,24084
SBCF,22481
SBBR,21511
SBRJ,19169
SBRF,15534
SBSV,12801
SBCT,11915
SBPA,11607
SBGL,10180
SBFZ,8216
SBEG,7575
SBGO,7533
SBFL,6898
SBBE,6386
SBVT,5861
SBCY,5153
SBNF,4778
SBMO,3760
SBSG,3607
SBFI,3335
SBCG,3114
SBPS,3009
SBRP,2758
SBUL,2509
SBSL,2499
SBJP,2371
SBAR,1972
SBMG,1961
SBSR,1919
SBLO,1883
SBTE,1649
SBJV,1537
SBPV,1379
SBIL,1302
SBDN,1279
SBJR,1202
SBPJ,1174
SBCH,1163
SBCA,979
SBPL,971
SBJU,962
SBRB,941
SBUY,889
SBIP,888
SBZM,875
SBMK,851
SBCX,833
SBFN,775
SBMQ,765
SBVC,732
SBSN,716
SBBV,648
SBKG,608
SBSI,543
SBJE,531
SBPF,502
SBIZ,499
SBJA,456
SBAU,417
SBMA,416
SBCJ,380
SNBR,351
SBUR,328
SWKO,300
SWCA,298
SBSM,298
SBPK,282
SBCP,277
SBGV,276
SBUG,267
SBAE,265
SBTF,243
SNCL,225
SBNM,224
SBPB,218
SWPI,212
SBTT,207
SBBW,204
SWLC,188
SBML,177
SBIH,175
SBMS,172
SBPP,160
SBME,156
SNVS,154
SSOU,148
SBCN,146
SBCO,145
SWJN,132
SNGI,132
SBRD,131
SSRS,130
SBCB,130
SBDB,130
SBCZ,124
SBPO,123
SBHT,122
SBMD,109
SSGG,103
SBTU,102
SWMW,101
SWGN,99
SNTO,96
SBJI,95
SBMY,94
SBSO,91
SNTS,90
SNEB,86
SBAX,85
SSUV,83
SBTG,83
SBTD,82
SNPD,79
SBPG,79
SSGY,78
SBBG,78
SBJD,77
SNLN,77
SBTB,74
SBTC,72
SNHS,72
SWLB,70
SNCP,69
SSLT,68
SWHP,65
SNMZ,64
SNYA,63
SNAB,63
SBAT,63
SWEI,61
SSUM,61
SBCR,61
SBVG,60
SNMA,60
SSCN,58
SNRU,58
SWYN,56
SNTF,54
SNSS,53
SBLE,53
SBVH,51
SSVL,50
SBAC,49
SNSM,48
SWBC,45
SSKW,44
SNZR,44
SBAQ,42
SBSJ,42
SDIY,40
SNJM,40
SBUA,39
SSZR,39
SBMI,39
SNOX,39
SNRJ,39
SSSC,38
SBUF,33
SSFB,27
SWTP,27
SBOI,26
SNDV,25
SNGN,23
SWKQ,21
SSSB,21
SSKM,20
SNWS,20
SWTS,19
SWBE,17
SNIG,16
SWFX,15
SSOG,15
SN6L,15
SNEE,14
SDOW,13
SDCG,13
SWBR,12
SSCT,11
SBBH,11
SSER,11
SSCP,10
SNTI,10
SSAP,7
SNOB,6
SDH2,5
SSBL,3
SDLO,2
SDSC,2
SNBA,1
SSOE,0
SBCD,0
