,atrasos
SBGR,54117
SBSP,52304
SBKP,26444
SBCF,22890
SBRJ,21182
SBBR,18808
SBRF,15128
SBPA,11208
SBSV,10900
SBCT,10717
SBGL,9580
SBFZ,7640
SBEG,7352
SBFL,6190
SBGO,6043
SBBE,5905
SBVT,5051
SBCY,4122
SBNF,3985
SBPS,3620
SBMO,3137
SBFI,3106
SBSG,2933
SBRP,2729
SBSL,2317
SBJP,2124
SBUL,2048
SBCG,1779
SBAR,1491
SBSR,1455
SBMG,1356
SBLO,1347
SBJR,1345
SBJV,1178
SBIL,1135
SBUY,1118
SBPV,1022
SBCH,969
SBTE,897
SBCA,833
SBFN,789
SBZM,686
SBDN,676
SBCX,675
SBMK,660
SBJU,628
SBPL,626
SBMQ,613
SBPJ,601
SBIP,589
SBSN,579
SBBV,513
SBVC,489
SBRB,472
SBJE,446
SBKG,419
SBPF,408
SBSI,379
SBCJ,355
SBIZ,354
SBJA,326
SNBR,310
SBAU,305
SBMA,304
SWCA,297
SWKO,296
SBCP,281
SBPK,245
SNVS,236
SBUR,232
SBGV,232
SBPB,223
SNCL,220
SBTT,219
SBUG,211
SBSM,204
SBAE,203
SBNM,194
SBTF,187
SWPI,179
SBML,169
SBBW,166
SBMD,156
SBME,152
SBPP,150
SSOU,150
SBMS,148
SWLC,143
SBCB,136
SBHT,129
SBJD,127
SBRD,126
SWJN,126
SNGI,123
SBTU,122
SBSO,121
SWMW,119
SBIH,118
SNTS,116
SWEI,100
SBCN,96
SSRS,92
SWGN,92
SBJI,91
SBTG,91
SBCZ,91
SSGY,90
SNEB,90
SNLN,90
SBTC,90
SSGG,90
SBPO,89
SBMY,86
SNHS,85
SBAX,84
SBDB,83
SNMZ,82
SBVH,75
SNPD,72
SNTO,70
SNRU,68
SBPG,68
SBCR,67
SWLB,67
SNCP,65
SSKW,64
SSUM,64
SWHP,64
SBVG,63
SSLT,60
SBBG,60
SBAT,59
SNOX,58
SSUV,58
SNSM,56
SNSS,54
SBTB,54
SBLE,53
SBMI,51
SNYA,49
SBAC,49
SBUA,49
SNAB,48
SBTD,47
SSCN,45
SWYN,42
SBCO,42
SWBC,39
SNZR,37
SBAQ,36
SNTF,36
SBOI,36
SBSJ,36
SSFB,35
SDIY,35
SSVL,34
SNRJ,33
SNMA,32
SNJM,32
SSSC,31
SBUF,31
SSZR,28
SWTS,25
SWKQ,25
SWBE,25
SNDV,24
SWTP,23
SNGN,23
SNWS,18
SDOW,16
SNEE,15
SNIG,14
SSOG,13
SSKM,13
SSSB,13
SSCT,12
SSAP,10
SSER,10
SDCG,9
SWBR,9
SNTI,9
SSCP,7
SNOB,6
SWFX,5
SDH2,5
SN6L,4
SBBH,3
SSBL,1
SNBA,1
SSOE,0
SDSC,0
SDLO,0
SBCD,0
