ano,cia_icao,mean,count,rank
2022.0,ABJ,0.0169,593,17.0
2022.0,ACN,0.2286,16224,9.0
2022.0,AZU,0.1081,271717,15.0
2022.0,CLX,0.8844,173,1.0
2022.0,GEC,0.2039,103,10.0
2022.0,GLO,0.1831,192091,12.0
2022.0,LAE,0.375,64,5.0
2022.0,LTG,0.4255,651,3.0
2022.0,MWM,0.2321,1228,8.0
2022.0,OMI,0.2981,104,6.0
2022.0,PAM,0.4035,3393,4.0
2022.0,PTB,0.2034,12761,11.0
2022.0,SID,0.2816,7868,7.0
2022.0,TAM,0.1094,208088,14.0
2022.0,TAP,0.1057,227,16.0
2022.0,TPA,0.5376,93,2.0
2022.0,TTL,0.1634,2234,13.0
2023.0,ABJ,0.2915,717,9.0
2023.0,ACN,0.2223,17960,12.0
2023.0,AZU,0.1352,282216,16.0
2023.0,CLX,0.6759,145,1.0
2023.0,GEC,0.099,101,17.0
2023.0,GLO,0.2198,208288,13.0
2023.0,LAE,0.52,75,4.0
2023.0,LCO,0.619,63,2.0
2023.0,LTG,0.4963,677,5.0
2023.0,MWM,0.1907,771,14.0
2023.0,OMI,0.3371,178,8.0
2023.0,PAM,0.4547,2978,6.0
2023.0,PTB,0.272,15452,11.0
2023.0,SID,0.338,6866,7.0
2023.0,TAM,0.167,234797,15.0
2023.0,TAP,0.0762,223,18.0
2023.0,TPA,0.5854,123,3.0
2023.0,TTL,0.2745,2044,10.0
2024.0,ABJ,0.3429,665,8.0
2024.0,ACN,0.2175,17774,13.0
2024.0,AZU,0.1667,286984,15.0
2024.0,CLX,0.4048,126,6.0
2024.0,CQB,0.5759,191,4.0
2024.0,GEC,0.313,131,12.0
2024.0,GLO,0.1499,200117,16.0
2024.0,LAE,0.7917,144,1.0
2024.0,LCO,0.7032,155,2.0
2024.0,LTG,0.4679,887,5.0
2024.0,MWM,0.3393,504,10.0
2024.0,PAM,0.3537,2974,7.0
2024.0,PTB,0.3143,14841,11.0
2024.0,SID,0.3413,6589,9.0
2024.0,TAM,0.1415,237822,17.0
2024.0,TAP,0.0696,359,19.0
2024.0,TOT,0.0963,218,18.0
2024.0,TPA,0.68,100,3.0
2024.0,TTL,0.2098,1597,14.0
